"","equipe","ano","rodada","dia","local","oponente","formacao","resultado","gp","gc","posse","totalchutes","%chgol","g_ch","cagc","%defesas","cleansheets","dif_faltas","impedimentos","cruzamentos","cortes","roubadas","pts","saldo_gols","cardscore","%gols_pen","%gols_contra","id_rodada","id_opp","opp_formacao","opp_gp","opp_gc","opp_posse","opp_totalchutes","opp_%chgol","opp_g_ch","opp_cagc","opp_%defesas","opp_cleansheets","opp_dif_faltas","opp_impedimentos","opp_cruzamentos","opp_cortes","opp_roubadas","opp_pts","opp_saldo_gols","opp_cardscore","opp_%gols_pen","%opp_gols_contra"
"249","Ceará","2019",29,"qua","Em casa","Fluminense","4--4-2","V",8,7,46.2857142857143,15.5714285714286,0.346707308037231,0.0919398248810014,3.71428571428571,0.764285714285714,2,0.714285714285714,1.71428571428571,25.8571428571429,13.4285714285714,10.1428571428571,10,1,2.28571428571429,0,0,"Ceará_2019_29","Fluminense_2019_29","4-1-4-1",5,7,56.5714285714286,15,0.261616954474097,0.0495813710099424,5.42857142857143,0.802040816326531,3,-1.28571428571429,1.42857142857143,19.2857142857143,10.8571428571429,11.4285714285714,8,-2,1.57142857142857,0.0714285714285714,0
"250","Ceará","2019",31,"qui","Em casa","Internacional","4--4-2","V",9,5,45.8571428571429,14,0.36265995442466,0.109400142341319,3.57142857142857,0.788095238095238,3,0.714285714285714,2,21.5714285714286,11.7142857142857,10.4285714285714,13,4,2.28571428571429,0,0,"Ceará_2019_31","Internacional_2019_31","4-2-3-1",6,8,55.1428571428571,15.7142857142857,0.236587853764988,0.0464031766552775,4.57142857142857,0.720634920634921,2,0.285714285714286,2.14285714285714,20.5714285714286,12,11,8,-2,3.57142857142857,0,0
"251","Ceará","2019",37,"qua","Em casa","Corinthians","4-2-3-1","D",5,9,47.7142857142857,12.2857142857143,0.331372549019608,0.0776493930905696,3.57142857142857,0.638095238095238,1,0.285714285714286,1.14285714285714,21.8571428571429,8.42857142857143,11.4285714285714,5,-4,4.57142857142857,0,0,"Ceará_2019_37","Corinthians_2019_37","4-1-4-1",9,6,60,17.8571428571429,0.263833863504916,0.080880256961084,4.42857142857143,0.917857142857143,3,1.71428571428571,1.42857142857143,24.7142857142857,7.85714285714286,9.28571428571429,11,3,1.42857142857143,0,0
"252","Ceará","2020",7,"qua","Em casa","Fortaleza","4-2-3-1","V",8,9,45.4285714285714,12,0.403566274994846,0.216738816738817,4.14285714285714,0.553571428571429,3,4.57142857142857,1.71428571428571,15.1428571428571,11.2857142857143,11,10,-1,2.57142857142857,0,0,"Ceará_2020_7","Fortaleza_2020_7","4-2-3-1",7,6,53.5714285714286,10.8571428571429,0.251232101232101,0.0789210789210789,4.42857142857143,0.803401360544218,2,2.85714285714286,2.28571428571429,14.1428571428571,9.28571428571429,9.71428571428571,8,1,2.85714285714286,0,0
"253","Ceará","2020",8,"sáb","Em casa","Santos","4-2-3-1","D",6,7,44.7142857142857,13.5714285714286,0.32664319807177,0.0738816738816739,4.42857142857143,0.660714285714286,3,4,2,18.2857142857143,12,11.8571428571429,10,-1,5,0,0,"Ceará_2020_8","Santos_2020_8","4-2-3-1",8,8,47.8571428571429,12.1428571428571,0.335840548340548,0.104022366522367,4.57142857142857,0.756802721088435,2,-7.28571428571429,1.85714285714286,17,12.4285714285714,9.42857142857143,10,0,5.14285714285714,0,0
"254","Ceará","2020",10,"dom","Em casa","Flamengo","4--4-2","V",7,6,43.8571428571429,12,0.328885003885004,0.0966089466089466,4.28571428571429,0.682539682539683,4,3,2.28571428571429,19.4285714285714,11.5714285714286,12,12,1,4.42857142857143,0,0,"Ceará_2020_10","Flamengo_2020_10","4-2-3-1",12,9,58.7142857142857,13.5714285714286,0.414527139527139,0.11523199023199,3.14285714285714,0.547619047619048,2,1.28571428571429,1.57142857142857,19.4285714285714,13.2857142857143,10.2857142857143,14,3,2.42857142857143,0.285714285714286,0
"255","Ceará","2020",12,"dom","Em casa","Goiás","4-2-3-1","E",9,9,46.8571428571429,11.8571428571429,0.367477989846411,0.107650536597905,5,0.685374149659864,3,-1.28571428571429,3.14285714285714,20,10.7142857142857,11.4285714285714,10,0,4.71428571428571,0,0,"Ceará_2020_12","Goiás_2020_12","4-1-4-1",10,13,39.7142857142857,10,0.384073820915926,0.14387673729779,6.28571428571429,0.642857142857143,1,3.14285714285714,1.42857142857143,13.4285714285714,11,8.28571428571429,5,-3,4.42857142857143,0.0476190476190476,0.0714285714285714
"256","Ceará","2020",15,"dom","Em casa","Corinthians","4-2-3-1","V",9,11,43.7142857142857,12.4285714285714,0.339883362251783,0.1027665317139,6,0.790352504638219,2,0.428571428571429,2.42857142857143,19.1428571428571,12.5714285714286,8.71428571428571,8,-2,3.42857142857143,0.0714285714285714,0,"Ceará_2020_15","Corinthians_2020_15","4--4-2",6,10,53.7142857142857,11.5714285714286,0.336272061272061,0.0801087801087801,3.28571428571429,0.743877551020408,1,1.14285714285714,1.14285714285714,20,11.7142857142857,9.85714285714286,5,-4,5,0,0.0714285714285714
"257","Ceará","2020",16,"qua","Em casa","São Paulo","4-2-3-1","E",10,10,42.8571428571429,13.1428571428571,0.393995916364337,0.115753544700913,5.28571428571429,0.786384250669965,2,1.14285714285714,2.57142857142857,18.4285714285714,13.8571428571429,9.14285714285714,9,0,3.85714285714286,0.0714285714285714,0,"Ceará_2020_16","São Paulo_2020_16","4--4-2",11,5,58.2857142857143,17.4285714285714,0.328548775785618,0.0948330762804447,3.57142857142857,0.642857142857143,3,0.428571428571429,1.57142857142857,24.1428571428571,10.7142857142857,9.14285714285714,13,6,2,0.214285714285714,0
"258","Ceará","2020",18,"sáb","Em casa","Coritiba","4-2-3-1","V",10,9,40.7142857142857,14.7142857142857,0.346199105332232,0.0939155787453001,5,0.730828695114409,1,4.57142857142857,2.42857142857143,17.5714285714286,17.1428571428571,8.57142857142857,10,1,4.14285714285714,0.0714285714285714,0,"Ceará_2020_18","Coritiba_2020_18","4-2-3-1",7,12,48.4285714285714,11.7142857142857,0.328793136687874,0.111364950838635,3.85714285714286,0.628571428571429,1,1.14285714285714,1.71428571428571,15.2857142857143,11.7142857142857,9.85714285714286,5,-5,2.71428571428571,0,0
